IATA,ICAO,Airport name,Country,City
RKZ,,Shigatse Air Base,China,Xigazê
RLA,,Rolla Downtown Airport,United States of America,Rolla
RLG,ETNL,Rostock-Laage Airport,Germany,Rostock
RLK,ZBYZ,Bayannur Tianjitai Airport,China,Bavannur
RLO,SAOS,Valle Del Conlara International Airport,Argentina,Merlo
RLP,,Rosella Plains Airport,Australia,Rosella Plains
RLT,DRZL,Arlit Airport,Niger,Arlit
RMA,YROM,Roma Airport,Australia,Roma
RMB,OOBR,Buraimi Airport,Oman,Buraimi
RMD,VORG,Basanth Nagar Airport,India,Ramagundam
RME,KRME,Griffiss International Airport,United States of America,Rome
RMF,HEMA,Marsa Alam International Airport,Egypt,Marsa Alam
RMG,KRMG,Richard B Russell Airport,United States of America,Rome
RMI,LIPR,Federico Fellini International Airport,Italy,Rimini
RMK,YREN,Renmark Airport,Australia,Berri
RML,VCCC,Colombo Ratmalana Airport,Sri Lanka,Colombo
RMN,AYRG,Rumginae Airport,Papua New Guinea,Kiunga
RMP,,Rampart Airport,United States of America,Rampart
RMQ,RCMQ,Taichung Ching Chuang Kang Airport,Taiwan,Taichung City
RMS,ETAR,Ramstein Air Base,Germany,Ramstein
RMT,NTAM,Rimatara Airport,French Polynesia,Rimatara Island
RMU,,Región de Murcia International Airport,Spain,Corvera
RMY,KMPI,Mariposa Yosemite Airport,United States of America,Mariposa
RNA,AGAR,Ulawa Airport,Solomon Islands,Arona
RNB,ESDF,Ronneby Airport,Sweden,Kallinge
RNC,KRNC,Warren County Memorial Airport,United States of America,Mc Minnville
RND,KRND,Randolph Air Force Base,United States of America,Universal City
RNE,LFLO,Roanne-Renaison Airport,France,Roanne/Renaison
RNI,MNCI,Corn Island,Nicaragua,Corn Island
RNJ,RORY,Yoron Airport,Japan,Yoronjima
RNL,AGGR,Rennell/Tingoa Airport,Solomon Islands,Rennell Island
RNM,OOGB,Qarn Alam Airport,Oman,Ghaba
RNN,EKRN,Bornholm Airport,Denmark,Rønne
RNO,KRNO,Reno Tahoe International Airport,United States of America,Reno
RNP,,Rongelap Island Airport,Marshall Islands,Rongelap Island
RNS,LFRN,Rennes-Saint-Jacques Airport,France,Rennes/Saint-Jacques
RNT,KRNT,Renton Municipal Airport,United States of America,Renton
RNU,WBKR,Ranau Airport,Malaysia,Ranau
RNZ,KRZL,Jasper County Airport,United States of America,Rensselaer
ROA,KROA,Roanoke–Blacksburg Regional Airport,United States of America,Roanoke
ROB,GLRB,Roberts International Airport,Liberia,Monrovia
ROC,KROC,Greater Rochester International Airport,United States of America,Rochester
ROD,FARS,Robertson Airport,South Africa,Robertson
ROF,,Montague-Yreka Rohrer Field,United States of America,Montague
ROG,KROG,Rogers Municipal Airport-Carter Field,United States of America,Rogers
ROH,YROB,Robinhood Airport,Australia,
ROI,VTUV,Roi Et Airport,Thailand,Roi Et
ROK,YBRK,Rockhampton Airport,Australia,Rockhampton
ROL,,Roosevelt Municipal Airport,United States of America,Roosevelt
ROO,SWRD,Maestro Marinho Franco Airport,Brazil,Rondonópolis
ROP,PGRO,Rota International Airport,Northern Mariana Islands,Rota Island
ROR,PTRO,Babelthuap Airport,Palau,Babelthuap Island
ROS,SAAR,Islas Malvinas Airport,Argentina,Rosario
ROT,NZRO,Rotorua Regional Airport,New Zealand,Rotorua
ROV,URRP,Platov International Airport,Russia,Rostov-on-Don
ROW,KROW,Roswell International Air Center Airport,United States of America,Roswell
ROX,KROX,Roseau Municipal Rudy Billberg Field,United States of America,Roseau
ROY,SAWM,Rio Mayo Airport,Argentina,Rio Mayo
ROZ,LERT,Rota Naval Station Airport,Spain,Rota
RPA,VNRP,Rolpa Airport,Nepal,Rolpa
RPB,YRRB,Roper Bar Airport,Australia,Roper Bar
RPM,YNGU,Ngukurr Airport,Australia,
RPN,LLIB,Ben Ya'akov Airport,Israel,Rosh Pina
RPR,VARP,Raipur Airport,India,Raipur
RPV,,Roper Valley Airport,Australia,Roper Valley
RPX,KRPX,Roundup Airport,United States of America,Roundup
RQO,KRQO,El Reno Regional Airport,United States of America,El Reno
RQW,ORQW,Qayyarah West Airport,Iraq,Qayyarah
RRE,YMRE,Marree Airport,Australia,
RRG,FIMR,Sir Charles Gaetan Duval Airport,Mauritius,Port Mathurin
RRK,VERK,Rourkela Airport,India,Banposh
RRL,KRRL,Merrill Municipal Airport,United States of America,Merrill
RRM,,Marromeu Airport,Mozambique,Marromeu
RRR,NTKO,Raroia Airport,French Polynesia,
RRS,ENRO,Røros Airport,Norway,Røros
RRT,KRRT,Warroad International Memorial Airport,United States of America,Warroad
RRV,YRBR,Robinson River Airport,Australia,
RSA,SAZR,Santa Rosa Airport,Argentina,Santa Rosa
RSB,YRSB,Roseberth Airport,Australia,
RSD,MYER,Rock Sound Airport,Bahamas,Rock Sound
RSH,PARS,Russian Mission Airport,United States of America,Russian Mission
RSK,WASC,Abresso Airport,Indonesia,Ransiki-Papua Island
RSL,KRSL,Russell Municipal Airport,United States of America,Russell
RSN,KRSN,Ruston Regional Airport,United States of America,Ruston
RSS,HSDZ,Damazin Airport,Sudan,Ad Damazin
RST,KRST,Rochester International Airport,United States of America,Rochester
RSU,RKJY,Yeosu Airport,South Korea,Yeosu
RSW,KRSW,Southwest Florida International Airport,United States of America,Fort Myers
RTA,NFNR,Rotuma Airport,Fiji,Rotuma
RTB,MHRO,Juan Manuel Galvez International Airport,Honduras,Roatan Island
RTC,VARG,Ratnagiri Airport,India,Ratnagiri
RTG,WATG,Frans Sales Lega Airport,Indonesia,Satar Tacik-Flores Island
RTI,WRKR,David Constantijn Saudale Airport,Indonesia,Ba'a - Rote Island
RTL,,Spirit Lake Municipal Airport,United States of America,Spirit Lake
RTM,EHRD,Rotterdam The Hague Airport,Netherlands,Rotterdam
RTN,KRTN,Raton Municipal-Crews Field,United States of America,Raton
RTP,YRTP,Rutland Plains Airport,Australia,
RTS,YRTI,Rottnest Island Airport,Australia,Mosman Park
RTW,UWSS,Saratov Central Airport,Russia,Saratov
RTY,YMYT,Merty Merty Airport,Australia,
RUA,HUAR,Arua Airport,Uganda,Arua
RUD,OIMJ,Shahroud Airport,Iran,Shahrud
RUE,FZMB,Rughenda Airfield,Democratic Republic of the Congo,Butembo
RUF,,Yuruf Airport,Indonesia,Amgotro
RUG,ZSRG,Rugao Air Base,China,Rugao
RUH,OERK,King Khaled International Airport,Saudi Arabia,Riyadh
RUI,KSRR,Sierra Blanca Regional Airport,United States of America,Ruidoso
RUK,VNRK,Rukum Chaurjahari Airport,Nepal,Rukumkot
RUM,VNRT,Rumjatar Airport,Nepal,Rumjatar
RUN,FMEE,Roland Garros Airport,Reunion,St Denis
RUP,VERU,Rupsi India Airport,India,Gauripur
RUR,NTAR,Rurutu Airport,French Polynesia,Moerai
RUS,AGGU,Marau Airport,Solomon Islands,Marau
RUT,KRUT,Rutland - Southern Vermont Regional Airport,United States of America,Rutland
RUU,,Ruti Airport,Papua New Guinea,Kawbenaberi
RUV,MGRB,Rubelsanto Airport,Guatemala,Rubelsanto
RUY,MHRU,Copán Ruinas Airport,Honduras,Copán Ruinas
RVA,FMSG,Farafangana Airport,Madagascar,Farafangana
RVC,,River Cess Airport/Heliport,Liberia,River Cess
RVD,SWLC,General Leite de Castro Airport,Brazil,Rio Verde
RVE,SKSA,Los Colonizadores Airport,Colombia,Saravena
RVK,ENRM,"Rørvik Airport, Ryum",Norway,Rørvik
RVN,EFRO,Rovaniemi Airport,Finland,Rovaniemi
RVO,FARI,Reivilo Airport,South Africa,Reivilo
RVR,,Green River Municipal Airport,United States of America,Green River
RVS,KRVS,Richard Lloyd Jones Jr Airport,United States of America,Tulsa
RVT,YNRV,Ravensthorpe Airport,Australia,
RVV,NTAV,Raivavae Airport,French Polynesia,
RVY,SURV,Presidente General Don Oscar D. Gestido International Airport,Uruguay,Rivera
RWF,KRWF,Redwood Falls Municipal Airport,United States of America,Redwood Falls
RWI,KRWI,Rocky Mount Wilson Regional Airport,United States of America,Rocky Mount
RWL,KRWL,Rawlins Municipal Airport/Harvey Field,United States of America,Rawlins
RWN,UKLR,Rivne International Airport,Ukraine,Rivne
RXE,KRXE,Rexburg Madison County Airport,United States of America,Rexburg
RXS,RPVR,Roxas Airport,Philippines,Roxas City
RYB,UUBK,Staroselye Airport,Russia,Rybinsk
RYG,ENRY,"Moss Airport, Rygge",Norway,Oslo
RYK,OPRK,Shaikh Zaid Airport,Pakistan,Rahim Yar Khan
RYN,LFCY,Royan-Médis Airport,France,Royan/Médis
RYO,SAWT,28 de Noviembre Airport,Argentina,Rio Turbio
RZA,SAWU,Santa Cruz Airport,Argentina,Santa Cruz
RZE,EPRZ,Rzeszów-Jasionka Airport,Poland,Rzeszów
RZN,UUWR,Turlatovo Airport,Russia,Ryazan
RZP,RPSD,Cesar Lim Rodriguez Airport,Philippines,"Taytay Airport, Sandoval Airport"
RZR,OINR,Ramsar Airport,Iran,Tonekabon
RZS,,Sawan Airport,Indonesia,Sawan-Bali Island
SAA,KSAA,Shively Field,United States of America,Saratoga
SAB,TNCS,Juancho E. Yrausquin Airport,Caribbean Netherlands,Saba
SAC,KSAC,Sacramento Executive Airport,United States of America,Sacramento
SAD,KSAD,Safford Regional Airport,United States of America,Safford
SAE,,Sangir Airport,Indonesia,Sangir-Simbawa Island
SAF,KSAF,Santa Fe Municipal Airport,United States of America,Santa Fe
SAG,VASD,Shirdi Airport,India,Shirdi
SAH,OYSN,Sana'a International Airport,Yemen,Sana'a
SAK,BIKR,Sauðárkrókur Airport,Iceland,Sauðárkrókur
SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport,El Salvador,San Salvador (San Luis Talpa)
SAM,,Salamo Airport,Papua New Guinea,Salamo
SAN,KSAN,San Diego International Airport,United States of America,San Diego
SAP,MHLM,Ramón Villeda Morales International Airport,Honduras,San Pedro Sula
SAQ,MYAN,San Andros Airport,Bahamas,Andros Island
SAR,KSAR,Sparta Community Hunter Field,United States of America,Sparta
SAS,,Salton Sea Airport,United States of America,Salton City
SAT,KSAT,San Antonio International Airport,United States of America,San Antonio
SAU,WRKS,Sabu-Tardanu Airport,Indonesia,Sabu-Sawu Island
SAV,KSAV,Savannah Hilton Head International Airport,United States of America,Savannah
SAW,LTFJ,Sabiha Gökçen International Airport,Turkey,Istanbul
SAX,,Sambu Airport,Panama,Boca de Sábalo
SAY,LIQS,Siena-Ampugnano Airport,Italy,Siena
SAZ,GLST,Sasstown Airport,Liberia,Sasstown
SBA,KSBA,Santa Barbara Municipal Airport,United States of America,Santa Barbara
SBB,SVSB,Santa Bárbara de Barinas Airport,Venezuela,Santa Bárbara
SBC,AYSO,Selbang Airport,Papua New Guinea,Selbang
SBD,KSBD,San Bernardino International Airport,United States of America,San Bernardino
SBE,AYSA,Suabi Airport,Papua New Guinea,
SBF,OADS,Sardeh Band Airport,Afghanistan,Sardeh Band
SBG,WITB,Maimun Saleh Airport,Indonesia,Sabang-We Island
SBH,TFFJ,Gustaf III Airport,Saint Barthelemy,Gustavia
SBI,GUSB,Sambailo Airport,Guinea,Koundara
SBJ,SNMX,São Mateus Airport,Brazil,São Mateus
SBK,LFRT,Saint-Brieuc-Armor Airport,France,Saint-Brieuc/Armor
SBL,SLSA,Santa Ana Del Yacuma Airport,Bolivia,Santa Ana del Yacuma
SBM,KSBM,Sheboygan County Memorial Airport,United States of America,Sheboygan
SBN,KSBN,South Bend Regional Airport,United States of America,South Bend
SBO,,Salina Gunnison Airport,United States of America,Salina
SBP,KSBP,San Luis County Regional Airport,United States of America,San Luis Obispo
SBQ,OPSB,Sibi Airport,Pakistan,Sibi
SBR,YSII,Saibai Island Airport,Australia,Saibai Island
SBS,KSBS,Steamboat Springs Bob Adams Field,United States of America,Steamboat Springs
SBT,USDA,Sabetta International Airport,Russia,Sabetta
SBU,FASB,Springbok Airport,South Africa,Springbok
SBV,AYSH,Sabah Airport,Papua New Guinea,Sabah
SBW,WBGS,Sibu Airport,Malaysia,Sibu
SBX,KSBX,Shelby Airport,United States of America,Shelby
SBY,KSBY,Salisbury Ocean City Wicomico Regional Airport,United States of America,Salisbury
SBZ,LRSB,Sibiu International Airport,Romania,Sibiu
SCB,KSCB,Scribner State Airport,United States of America,Scribner
SCC,PASC,Deadhorse Airport,United States of America,Deadhorse
SCD,MHUL,Sulaco Airport,Honduras,Sulaco
SCE,KUNV,University Park Airport,United States of America,State College
SCF,KSDL,Scottsdale Airport,United States of America,Scottsdale
SCG,YSPK,Spring Creek Airport,Australia,
SCH,KSCH,Schenectady County Airport,United States of America,Schenectady
SCI,SVPM,Paramillo Airport,Venezuela,Táriba
SCK,KSCK,Stockton Metropolitan Airport,United States of America,Stockton
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,Chile,Santiago
SCM,PACM,Scammon Bay Airport,United States of America,Scammon Bay
SCN,EDDR,Saarbrücken Airport,Germany,Saarbrücken
SCO,UATE,Aktau Airport,Kazakhstan,Aktau
SCP,LFNC,Mont-Dauphin - St-Crépin Airport,France,Mende
SCQ,LEST,Santiago de Compostela Airport,Spain,Santiago de Compostela
SCS,EGPM,Scatsta Airport,United Kingdom,Shetland Islands
SCT,OYSQ,Socotra International Airport,Yemen,Socotra Islands
SCU,MUCU,Antonio Maceo International Airport,Cuba,Santiago
SCV,LRSV,Suceava Stefan cel Mare Airport,Romania,Suceava
SCW,UUYY,Syktyvkar Airport,Russia,Syktyvkar
SCX,,Salina Cruz Naval Air Station,Mexico,Salina Cruz
SCY,SEST,San Cristóbal Airport,Ecuador,San Cristóbal
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport,Solomon Islands,Santa Cruz/Graciosa Bay/Luova
SDB,FALW,Langebaanweg Airport,South Africa,Langebaanweg
SDC,SYSC,Sand Creek Airport,Guyana,Sand Creek
SDD,FNUB,Lubango Airport,Angola,Lubango
SDE,SANE,Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,Santiago del Estero
SDF,KSDF,Louisville International Standiford Field,United States of America,Louisville
SDG,OICS,Sanandaj Airport,Iran,Sanandaj
SDI,,Saidor Airport,Papua New Guinea,Saidor
SDJ,RJSS,Sendai Airport,Japan,Sendai
SDK,WBKS,Sandakan Airport,Malaysia,Sandakan
SDL,ESNN,Sundsvall-Härnösand Airport,Sweden,Sundsvall/ Härnösand
SDM,KSDM,Brown Field Municipal Airport,United States of America,San Diego
SDN,ENSD,Sandane Airport (Anda),Norway,Sandane
SDP,PASD,Sand Point Airport,United States of America,Sand Point
SDQ,MDSD,Las Américas International Airport,Dominican Republic,Santo Domingo
SDR,LEXJ,Santander Airport,Spain,Santander
SDS,RJSD,Sado Airport,Japan,Sado
SDT,OPSS,Saidu Sharif Airport,Pakistan,Saidu Sharif
SDU,SBRJ,Santos Dumont Airport,Brazil,Rio De Janeiro
SDV,LLSD,Sde Dov Airport,Israel,Tel Aviv
SDX,KSEZ,Sedona Airport,United States of America,Sedona
SDY,KSDY,Sidney - Richland Regional Airport,United States of America,Sidney
SEA,KSEA,Seattle Tacoma International Airport,United States of America,SeaTac
SEB,HLLS,Sabha Airport,Libya,Sabha
SEE,KSEE,Gillespie Field,United States of America,San Diego/El Cajon
SEF,KSEF,Sebring Regional Airport,United States of America,Sebring
SEG,KSEG,Penn Valley Airport,United States of America,Selinsgrove
SEH,WAJS,Senggeh Airport,Indonesia,Senggeh
SEK,UESK,Srednekolymsk Airport,Russia,Srednekolymsk
SEM,KSEM,Craig Field,United States of America,Selma
SEN,EGMC,Southend Airport,United Kingdom,Southend
SEO,DISG,Seguela Airport,Ivory Coast,Seguela
SEP,KSEP,Stephenville Clark Regional Airport,United States of America,Stephenville
SEQ,WIBS,Sungai Pakning Bengkalis Airport,Indonesia,Bengkalis-Sumatra Island
SER,KSER,Freeman Municipal Airport,United States of America,Seymour
SEU,HTSN,Seronera Airport,Tanzania,Seronera
SEV,UKCS,Sievierodonetsk Airport,Ukraine,Sievierodonetsk
SEW,,Siwa Oasis North Airport,Egypt,Siwa
SEY,GQNS,Sélibaby Airport,Mauritania,Sélibaby
SEZ,FSIA,Seychelles International Airport,Seychelles,Mahe Island
SFA,DTTX,Sfax Thyna International Airport,Tunisia,Sfax
SFB,KSFB,Orlando Sanford International Airport,United States of America,Orlando
SFC,TFFC,St-François Airport,Guadeloupe,St-François
SFD,SVSR,San Fernando De Apure Airport,Venezuela,Inglaterra
SFE,RPUS,San Fernando Airport,Philippines,Paringao
SFF,KSFF,Felts Field,United States of America,Spokane
SFG,TFFG,L'Espérance Airport,Saint Martin,Grand Case
SFH,MMSF,San Felipe International Airport,Mexico,Mexicali
SFI,GMMS,Safi Airport,Morocco,Safi
SFJ,BGSF,Kangerlussuaq Airport,Greenland,Kangerlussuaq
SFK,SNSW,Soure Airport,Brazil,Soure
SFL,GVSF,São Filipe Airport,Cape Verde,São Filipe
SFM,KSFM,Sanford Seacoast Regional Airport,United States of America,Sanford
SFN,SAAV,Sauce Viejo Airport,Argentina,Santa Fe
SFO,KSFO,San Francisco International Airport,United States of America,San Francisco
SFQ,LTCH,Şanlıurfa Airport,Turkey,Şanlıurfa
SFS,RPLB,Subic Bay International Airport,Philippines,Olongapo City
SFT,ESNS,Skellefteå Airport,Sweden,Skellefteå
SFU,,Safia Airport,Papua New Guinea,Safia
SFX,,Macagua Airport,Venezuela,Ciudad Guayana
SFZ,KSFZ,North Central State Airport,United States of America,Pawtucket
SGA,OASN,Sheghnan Airport,Afghanistan,Sheghnan
SGC,USRR,Surgut Airport,Russia,Surgut
SGD,EKSB,Sønderborg Airport,Denmark,Sønderborg
SGE,EDGS,Siegerland Airport,Germany,Burbach
SGF,KSGF,Springfield Branson National Airport,United States of America,Springfield
SGH,KSGH,Springfield-Beckley Municipal Airport,United States of America,Springfield
SGI,OPSR,Mushaf Air Base,Pakistan,Sargodha
SGK,,Sengapi Airstrip,Papua New Guinea,Sengapi
SGL,RPLS,Danilo Atienza Air Base,Philippines,Cavite City
SGM,,San Ignacio Airport,Mexico,San Ignacio
SGN,VVTS,Tan Son Nhat International Airport,Vietnam,Ho Chi Minh City
SGO,YSGE,St George Airport,Australia,
SGP,YSHG,Shay Gap Airport,Australia,Shay Gap
SGQ,WRLA,Sanggata/Sangkimah Airport,Indonesia,Sanggata/Sangkimah
SGR,KSGR,Sugar Land Regional Airport,United States of America,Houston
SGT,KSGT,Stuttgart Municipal Airport / Carl Humphrey Field,United States of America,Stuttgart
SGU,KSGU,St George Municipal Airport,United States of America,St George
SGV,SAVS,Sierra Grande Airport,Argentina,Sierra Grande
SGX,HTSO,Songea Airport,Tanzania,Songea
SGY,PAGY,Skagway Airport,United States of America,Skagway
SGZ,VTSH,Songkhla Airport,Thailand,Songkhla
SHA,ZSSS,Shanghai Hongqiao International Airport,China,Shanghai
SHB,RJCN,Nakashibetsu Airport,Japan,Nakashibetsu
SHC,,Shire Inda Selassie Airport,Ethiopia,Shire Indasilase
SHD,KSHD,Shenandoah Valley Regional Airport,United States of America,Staunton/Waynesboro/Harrisonburg
SHE,ZYTX,Taoxian Airport,China,Shenyang
SHF,ZGHU,Huayuan Airport,China,Shihezi
SHG,PAGH,Shungnak Airport,United States of America,Shungnak
SHH,PASH,Shishmaref Airport,United States of America,Shishmaref
SHI,RORS,Shimojishima Airport,Japan,Shimojishima
SHJ,OMSJ,Sharjah International Airport,United Arab Emirates,Sharjah
SHK,FXSH,Sehonghong Airport,Lesotho,Sehonghong
SHL,VEBI,Shillong Airport,India,Shillong
SHM,RJBD,Nanki Shirahama Airport,Japan,Shirahama
SHN,KSHN,Sanderson Field,United States of America,Shelton
SHO,FDSK,King Mswati III International Airport,Eswatini,Manzini
SHQ,YSPT,Southport Airport,Australia,Gold Coast
SHR,KSHR,Sheridan County Airport,United States of America,Sheridan
SHS,ZHSS,Shashi Airport,China,Shashi
SHT,YSHT,Shepparton Airport,Australia,Shepparton
SHU,YSMP,Smith Point Airport,Australia,
SHV,KSHV,Shreveport Regional Airport,United States of America,Shreveport
SHW,OESH,Sharurah Airport,Saudi Arabia,
SHX,PAHX,Shageluk Airport,United States of America,Shageluk
SHY,HTSY,Shinyanga Airport,Tanzania,Shinyanga
SHZ,FXSS,Seshutes Airport,Lesotho,Seshutes
SIA,ZLSN,Xi'an Xiguan Airport,China,Xi'an
SIB,FCBS,Sibiti Airport,Republic of the Congo,Sibiti
SIC,,San José Island Airport,Panama,Las Perlas
SID,GVAC,Amílcar Cabral International Airport,Cape Verde,Espargos
SIF,VNSI,Simara Airport,Nepal,Simara
SIG,TJIG,Fernando Luis Ribas Dominicci Airport,Puerto Rico,San Juan
SIH,VNDT,Silgadi Doti Airport,Nepal,Silgadi Doti
SII,GMMF,Sidi Ifni Xx Airport,Morocco,Sidi Ifni
SIJ,BISI,Siglufjörður Airport,Iceland,Siglufjörður
SIK,KSIK,Sikeston Memorial Municipal Airport,United States of America,Sikeston
SIL,AYSG,Sila Airport,Papua New Guinea,Sila Mission
SIM,AYSJ,Simbai Airport,Papua New Guinea,Simbai
SIN,WSSS,Singapore Changi Airport,Singapore,Singapore
SIO,YSMI,Smithton Airport,Australia,Smithton
SIP,UKFF,Simferopol International Airport,Ukraine,Simferopol
SIQ,WIDS,Dabo Airport,Indonesia,Pasirkuning-Singkep Island
SIR,LSGS,Sion Airport,Switzerland,Sion
SIS,FASS,Sishen Airport,South Africa,Sishen
SIT,PASI,Sitka Rocky Gutierrez Airport,United States of America,Sitka
SIU,MNSI,Siuna,Nicaragua,Siuna
SIV,KSIV,Sullivan County Airport,United States of America,Monticello
SIW,WIMP,Sibisa Airport,Indonesia,Parapat-Sumatra Island
SIX,YSGT,Singleton Airport,Australia,Singleton
SIZ,,Sissano Airport,Papua New Guinea,Sissano
SJA,SPJN,San Juan de Marcona Airport,Peru,San Juan de Marcona
SJB,SLJO,San Joaquín Airport,Bolivia,San Joaquín
SJC,KSJC,Norman Y. Mineta San Jose International Airport,United States of America,San Jose
SJD,MMSD,Los Cabos International Airport,Mexico,San José del Cabo
SJE,SKSJ,Jorge E. Gonzalez Torres Airport,Colombia,San José Del Guaviare
SJH,,San Juan Del César Airport,Colombia,San Juan Del César
SJI,RPUH,San Jose Airport,Philippines,San Jose
SJJ,LQSA,Sarajevo International Airport,Bosnia and Herzegovina,Sarajevo
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,Brazil,São José Dos Campos
SJL,SBUA,São Gabriel da Cachoeira Airport,Brazil,São Gabriel Da Cachoeira
SJN,KSJN,St Johns Industrial Air Park,United States of America,St Johns
SJO,MROC,Juan Santamaria International Airport,Costa Rica,San Jose
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,Brazil,São José Do Rio Preto
SJQ,FLSS,Sesheke Airport,Zambia,Sesheke
SJR,,San Juan De Uraba Airport,Colombia,San Juan De Uraba
SJS,SLJE,San José De Chiquitos Airport,Bolivia,San José de Chiquitos
SJT,KSJT,San Angelo Regional Mathis Field,United States of America,San Angelo
SJU,TJSJ,Luis Munoz Marin International Airport,Puerto Rico,San Juan
SJV,SLJV,San Javier Airport,Bolivia,San Javier
SJW,ZBSJ,Shijiazhuang Daguocun International Airport,China,Shijiazhuang
SJX,,Sartaneja Airport,Belize,Sartaneja
SJY,EFSI,Seinäjoki Airport,Finland,Seinäjoki / Ilmajoki
SJZ,LPSJ,São Jorge Airport,Portugal,Velas
SKA,KSKA,Fairchild Air Force Base,United States of America,Spokane
SKB,TKPK,Robert L. Bradshaw International Airport,Saint Kitts and Nevis,Basseterre
SKC,,Suki Airport,Papua New Guinea,Suki
SKD,UTSS,Samarkand Airport,Uzbekistan,Samarkand
SKE,ENSN,Skien Airport,Norway,Geiteryggen
SKF,KSKF,Lackland Air Force Base,United States of America,San Antonio
SKG,LGTS,Thessaloniki Macedonia International Airport,Greece,Thessaloniki
SKH,VNSK,Surkhet Airport,Nepal,Surkhet
SKK,PFSH,Shaktoolik Airport,United States of America,Shaktoolik
SKM,SYSK,Skeldon Airport,Guyana,Skeldon
SKN,ENSK,Stokmarknes Skagen Airport,Norway,Hadsel
SKO,DNSO,Sadiq Abubakar III International Airport,Nigeria,Sokoto
SKP,LWSK,Skopje Alexander the Great Airport,North Macedonia,Skopje
SKQ,FXSK,Sekakes Airport,Lesotho,Sekakes
SKR,HASK,Shakiso Airport,Ethiopia,Shakiso
SKS,EKSP,Skrydstrup Air Base,Denmark,Vojens
SKT,OPST,Sialkot Airport,Pakistan,Sialkot
SKU,LGSY,Skiros Airport,Greece,Skiros Island
SKV,HESC,St Catherine International Airport,Egypt,Saint Catherine
SKW,PASW,Skwentna Airport,United States of America,Skwentna
SKX,UWPS,Saransk Airport,Russia,Saransk
SKZ,OPSK,Sukkur Airport,Pakistan,Mirpur Khas
SLA,SASA,Martin Miguel De Guemes International Airport,Argentina,Salta
SLB,KSLB,Storm Lake Municipal Airport,United States of America,Storm Lake
SLC,KSLC,Salt Lake City International Airport,United States of America,Salt Lake City
SLD,LZSL,Sliač Airport,Slovakia,Sliač
SLE,KSLE,Salem Municipal Airport/McNary Field,United States of America,Salem
SLF,OESL,Sulayel Airport,Saudi Arabia,As Sulayyil
SLG,KSLG,Smith Field,United States of America,Siloam Springs
SLH,NVSC,Sola Airport,Vanuatu,Sola
SLI,FLSW,Solwesi Airport,Zambia,Solwesi
SLJ,,Solomon Airport,Australia,Karijini National Park
SLK,KSLK,Adirondack Regional Airport,United States of America,Saranac Lake
SLL,OOSA,Salalah Airport,Oman,Salalah
SLM,LESA,Salamanca Airport,Spain,Salamanca
SLN,KSLN,Salina Municipal Airport,United States of America,Salina
SLO,KSLO,Salem Leckrone Airport,United States of America,Salem
SLP,MMSP,Ponciano Arriaga International Airport,Mexico,San Luis Potosí
SLQ,PASL,Sleetmute Airport,United States of America,Sleetmute
SLR,KSLR,Sulphur Springs Municipal Airport,United States of America,Sulphur Springs
SLT,KANK,Harriet Alexander Field,United States of America,Salida
SLU,TLPC,George F. L. Charles Airport,Saint Lucia,Castries
SLV,VISM,Shimla Airport,India,Shimla
SLW,MMIO,Plan De Guadalupe International Airport,Mexico,Saltillo
SLX,MBSY,Salt Cay Airport,Turks and Caicos Islands,Salt Cay
SLY,USDD,Salekhard Airport,Russia,Salekhard
SLZ,SBSL,Marechal Cunha Machado International Airport,Brazil,São Luís
SMA,LPAZ,Santa Maria Airport,Portugal,Vila do Porto
SMB,SCSB,Franco Bianco Airport,Chile,Cerro Sombrero
SMD,KSMD,Smith Field,United States of America,Fort Wayne
SME,KSME,Lake Cumberland Regional Airport,United States of America,Somerset
SMF,KSMF,Sacramento International Airport,United States of America,Sacramento
SMG,SPMR,Santa Maria Airport,Peru,Santa María
SMH,,Sapmanga Airport,Papua New Guinea,Sapmanga
SMI,LGSM,Samos Airport,Greece,Samos Island
SMJ,AYXI,Sim Airport,Papua New Guinea,Sim
SMK,PAMK,St Michael Airport,United States of America,St Michael
SML,MYLS,Stella Maris Airport,Bahamas,Stella Maris
SMM,WBKA,Semporna Airport,Malaysia,Semporna
SMN,KSMN,Lemhi County Airport,United States of America,Salmon
SMO,KSMO,Santa Monica Municipal Airport,United States of America,Santa Monica
SMP,,Stockholm Airport,Papua New Guinea,Stockholm
SMQ,WAOS,Sampit(Hasan) Airport,Indonesia,Sampit-Borneo Island
SMR,SKSM,Simón Bolívar International Airport,Colombia,Santa Marta
SMS,FMMS,Sainte Marie Airport,Madagascar,Ambodifotatra
SMT,SBSO,Adolino Bedin Regional Airport,Brazil,Sorriso
SMU,PASP,Sheep Mountain Airport,United States of America,Sheep Mountain
SMV,LSZS,Samedan Airport,Switzerland,Samedan
SMW,GMMA,Smara Airport,Western Sahara,Smara
SMX,KSMX,Santa Maria Pub/Capt G Allan Hancock Field,United States of America,Santa Maria
SMY,GOTS,Simenti Airport,Senegal,Simenti
